.0.0, zeroDotZero
.1.3, org
.1.3.6, dod
.1.3.6.1, internet
.1.3.6.1.1, directory
.1.3.6.1.2, mgmt
.1.3.6.1.2.1, mib-2
.1.3.6.1.2.1.1, system
.1.3.6.1.2.1.1.1, sysDescr
.1.3.6.1.2.1.1.2, sysObjectID
.1.3.6.1.2.1.1.3, sysUpTime
.1.3.6.1.2.1.1.4, sysContact
.1.3.6.1.2.1.1.5, sysName
.1.3.6.1.2.1.1.6, sysLocation
.1.3.6.1.2.1.1.7, sysServices
.1.3.6.1.2.1.10, transmission
.1.3.6.1.2.1.11, snmp
.1.3.6.1.2.1.11.1, snmpInPkts
.1.3.6.1.2.1.11.10, snmpInBadValues
.1.3.6.1.2.1.11.11, snmpInReadOnlys
.1.3.6.1.2.1.11.12, snmpInGenErrs
.1.3.6.1.2.1.11.13, snmpInTotalReqVars
.1.3.6.1.2.1.11.14, snmpInTotalSetVars
.1.3.6.1.2.1.11.15, snmpInGetRequests
.1.3.6.1.2.1.11.16, snmpInGetNexts
.1.3.6.1.2.1.11.17, snmpInSetRequests
.1.3.6.1.2.1.11.18, snmpInGetResponses
.1.3.6.1.2.1.11.19, snmpInTraps
.1.3.6.1.2.1.11.2, snmpOutPkts
.1.3.6.1.2.1.11.20, snmpOutTooBigs
.1.3.6.1.2.1.11.21, snmpOutNoSuchNames
.1.3.6.1.2.1.11.22, snmpOutBadValues
.1.3.6.1.2.1.11.24, snmpOutGenErrs
.1.3.6.1.2.1.11.25, snmpOutGetRequests
.1.3.6.1.2.1.11.26, snmpOutGetNexts
.1.3.6.1.2.1.11.27, snmpOutSetRequests
.1.3.6.1.2.1.11.28, snmpOutGetResponses
.1.3.6.1.2.1.11.29, snmpOutTraps
.1.3.6.1.2.1.11.3, snmpInBadVersions
.1.3.6.1.2.1.11.30, snmpEnableAuthenTraps
.1.3.6.1.2.1.11.4, snmpInBadCommunityNames
.1.3.6.1.2.1.11.5, snmpInBadCommunityUses
.1.3.6.1.2.1.11.6, snmpInASNParseErrs
.1.3.6.1.2.1.11.8, snmpInTooBigs
.1.3.6.1.2.1.11.9, snmpInNoSuchNames
.1.3.6.1.2.1.2, interfaces
.1.3.6.1.2.1.2.1, ifNumber
.1.3.6.1.2.1.2.2, ifTable
.1.3.6.1.2.1.2.2.1, ifEntry
.1.3.6.1.2.1.2.2.1.1, ifIndex
.1.3.6.1.2.1.2.2.1.10, ifInOctets
.1.3.6.1.2.1.2.2.1.11, ifInUcastPkts
.1.3.6.1.2.1.2.2.1.12, ifInNUcastPkts
.1.3.6.1.2.1.2.2.1.13, ifInDiscards
.1.3.6.1.2.1.2.2.1.14, ifInErrors
.1.3.6.1.2.1.2.2.1.15, ifInUnknownProtos
.1.3.6.1.2.1.2.2.1.16, ifOutOctets
.1.3.6.1.2.1.2.2.1.17, ifOutUcastPkts
.1.3.6.1.2.1.2.2.1.18, ifOutNUcastPkts
.1.3.6.1.2.1.2.2.1.19, ifOutDiscards
.1.3.6.1.2.1.2.2.1.2, ifDescr
.1.3.6.1.2.1.2.2.1.20, ifOutErrors
.1.3.6.1.2.1.2.2.1.21, ifOutQLen
.1.3.6.1.2.1.2.2.1.22, ifSpecific
.1.3.6.1.2.1.2.2.1.3, ifType
.1.3.6.1.2.1.2.2.1.4, ifMtu
.1.3.6.1.2.1.2.2.1.5, ifSpeed
.1.3.6.1.2.1.2.2.1.6, ifPhysAddress
.1.3.6.1.2.1.2.2.1.7, ifAdminStatus
.1.3.6.1.2.1.2.2.1.8, ifOperStatus
.1.3.6.1.2.1.2.2.1.9, ifLastChange
.1.3.6.1.2.1.3, at
.1.3.6.1.2.1.3.1, atTable
.1.3.6.1.2.1.3.1.1, atEntry
.1.3.6.1.2.1.3.1.1.1, atIfIndex
.1.3.6.1.2.1.3.1.1.2, atPhysAddress
.1.3.6.1.2.1.3.1.1.3, atNetAddress
.1.3.6.1.2.1.4, ip
.1.3.6.1.2.1.4.1, ipForwarding
.1.3.6.1.2.1.4.10, ipOutRequests
.1.3.6.1.2.1.4.11, ipOutDiscards
.1.3.6.1.2.1.4.12, ipOutNoRoutes
.1.3.6.1.2.1.4.13, ipReasmTimeout
.1.3.6.1.2.1.4.14, ipReasmReqds
.1.3.6.1.2.1.4.15, ipReasmOKs
.1.3.6.1.2.1.4.16, ipReasmFails
.1.3.6.1.2.1.4.17, ipFragOKs
.1.3.6.1.2.1.4.18, ipFragFails
.1.3.6.1.2.1.4.19, ipFragCreates
.1.3.6.1.2.1.4.2, ipDefaultTTL
.1.3.6.1.2.1.4.20, ipAddrTable
.1.3.6.1.2.1.4.20.1, ipAddrEntry
.1.3.6.1.2.1.4.20.1.1, ipAdEntAddr
.1.3.6.1.2.1.4.20.1.2, ipAdEntIfIndex
.1.3.6.1.2.1.4.20.1.3, ipAdEntNetMask
.1.3.6.1.2.1.4.20.1.4, ipAdEntBcastAddr
.1.3.6.1.2.1.4.20.1.5, ipAdEntReasmMaxSize
.1.3.6.1.2.1.4.21, ipRouteTable
.1.3.6.1.2.1.4.21.1, ipRouteEntry
.1.3.6.1.2.1.4.21.1.1, ipRouteDest
